dataset,seed,status,wall_elapsed_seconds,training_elapsed_seconds,source,method,iters,selected_iteration,valid,num_flipped,num_nonfinite,num_intersections,min_signed_area,symmetric_dirichlet_mean,symmetric_dirichlet_area_weighted_mean,symmetric_dirichlet_p95,symmetric_dirichlet_p99,symmetric_dirichlet_max,angle_distortion_mean_deg,angle_distortion_p95_deg,angle_distortion_max_deg,normalized_uv_area_min,initial_symmetric_dirichlet_mean,initial_symmetric_dirichlet_max
Isis,4,complete,99.99084499999299,89.52560519998951,data\output\v2_1_multiseed\Isis\seed_4\spline\Isis_spline_seed4.metrics.json,spline,1000,1000,True,0,0,0,9.315442002844065e-05,5.940711975097656,5.4556579904363005,10.36941146850586,20.23973274230957,86.37508392333984,15.81317002603312,45.708269197564455,105.22490685545839,0.04637463018298149,15.866033554077148,1508.113037109375
Cow,,complete,,,data\output\v2_1_multiseed\Cow\seed_0\affine\Cow_affine_seed0.metrics.json,initial,0,0,True,0,0,0,5.932557181910131e-08,828.5261840820312,286.00127162250567,266.4740905761719,7306.1552734375,284752.6875,38.84791722284608,97.48163525593736,168.91894738056217,4.3978844860979657e-05,828.5261840820312,284752.6875
Cow,0,complete,386.64725270000054,232.50440510000044,data\output\v2_1_multiseed\Cow\seed_0\affine\Cow_affine_seed0.metrics.json,affine,1000,1000,True,0,0,0,1.8393075151834637e-07,142.50096130371094,67.757732097109,355.3005065917969,1738.1650390625,26863.09375,37.630381665250795,92.54785680401754,166.03397008310628,4.903501394437626e-05,828.5261840820312,284752.6875
Cow,0,complete,467.48668149999867,311.2243618000066,data\output\v2_1_multiseed\Cow\seed_0\spline\Cow_spline_seed0.metrics.json,spline,1000,1000,True,0,0,0,8.697725206729956e-08,30.442916870117188,15.794967765002745,70.86808776855469,315.04931640625,10283.2529296875,30.001112147985754,75.99955174838544,158.5345589782157,0.00011618125427048653,828.5261840820312,284752.6875
Cow,1,complete,390.24662089999765,234.5528983000113,data\output\v2_1_multiseed\Cow\seed_1\affine\Cow_affine_seed1.metrics.json,affine,1000,1000,True,0,0,0,2.7928581403102726e-07,120.23188781738281,58.56926212558211,309.0521545410156,1307.455078125,49992.078125,36.22509777105376,91.62105485563355,166.58369943370027,8.287857781397179e-05,828.5261840820312,284752.6875
Cow,1,complete,462.2914602999954,307.19473129999824,data\output\v2_1_multiseed\Cow\seed_1\spline\Cow_spline_seed1.metrics.json,spline,1000,1000,True,0,0,0,7.941298463265412e-08,31.038650512695312,16.51370616936225,75.47743225097656,306.6482238769531,10136.1064453125,30.464771904900495,77.09148219852321,159.90756360517165,0.0001003469733404927,828.5261840820312,284752.6875
Cow,2,complete,391.287823199993,235.02728840000054,data\output\v2_1_multiseed\Cow\seed_2\affine\Cow_affine_seed2.metrics.json,affine,1000,1000,True,0,0,0,3.627756086643785e-07,146.65582275390625,69.62229278093346,362.686767578125,1732.4857177734375,29819.81640625,37.64512566923881,94.60015001578529,166.924689797824,9.123868949245661e-05,828.5261840820312,284752.6875
Cow,2,complete,462.64721909999207,307.5765895999939,data\output\v2_1_multiseed\Cow\seed_2\spline\Cow_spline_seed2.metrics.json,spline,1000,1000,True,0,0,0,7.908965926617384e-08,30.66565704345703,16.32742914074229,75.2837142944336,298.25225830078125,9573.2314453125,30.30626621579023,77.27434095231433,157.65028170713083,0.00010422954801470041,828.5261840820312,284752.6875
Cow,3,complete,395.08340119999775,235.5125440999982,data\output\v2_1_multiseed\Cow\seed_3\affine\Cow_affine_seed3.metrics.json,affine,1000,1000,True,0,0,0,1.7909042071551085e-07,100.6429214477539,46.52151460283297,242.7405242919922,1201.56884765625,30530.53125,35.664569271728105,86.88192011770096,166.52549256159344,7.67763631301932e-05,828.5261840820312,284752.6875
Cow,3,complete,462.29811390000395,306.56213389999175,data\output\v2_1_multiseed\Cow\seed_3\spline\Cow_spline_seed3.metrics.json,spline,1000,1000,True,0,0,0,5.937977221037727e-08,35.823204040527344,18.696159538525635,80.91859436035156,439.9015808105469,12641.5869140625,31.859499331928884,80.61656494435016,159.423111947721,7.088029815349728e-05,828.5261840820312,284752.6875
Cow,4,complete,394.0895975000021,237.8931561000063,data\output\v2_1_multiseed\Cow\seed_4\affine\Cow_affine_seed4.metrics.json,affine,1000,1000,True,0,0,0,1.330738541582832e-07,87.03140258789062,42.66754051268535,206.0203857421875,968.5169067382812,19293.462890625,33.04804797434263,82.09564364741777,166.3828713241442,5.6803375628078356e-05,828.5261840820312,284752.6875
Cow,4,complete,464.56680249999044,309.8713424000016,data\output\v2_1_multiseed\Cow\seed_4\spline\Cow_spline_seed4.metrics.json,spline,1000,1000,True,0,0,0,7.510925570386462e-08,29.50605010986328,16.226870666864144,75.04859161376953,297.9617614746094,11114.7451171875,30.721211349539637,77.59932411705026,159.35873058460444,0.00010323696187697351,828.5261840820312,284752.6875
